Kreis,Einwohner,Dichte
"Aachen, Städteregion[FN 1]",557026,788
Ahrweiler,130086,165
Aichach-Friedberg,134655,173
Alb-Donau-Kreis,197076,145
Altenburger Land,89393,157
Altenkirchen (Westerwald),128805,201
Altmarkkreis Salzwedel,83173,36
Altötting,111516,196
Alzey-Worms,129687,220
Amberg-Sulzbach,103049,82
Ammerland,124859,171
Anhalt-Bitterfeld,158486,109
Ansbach,184591,94
Aschaffenburg,174200,249
Augsburg,253468,237
Aurich,189694,147
Bad Dürkheim,132671,223
Bad Kissingen,103235,91
Bad Kreuznach,158345,183
Bad Tölz-Wolfratshausen,127917,115
Bamberg,147163,126
Barnim,185244,125
Bautzen,299758,125
Bayreuth,103664,81
Berchtesgadener Land,105929,126
Bergstraße,270340,376
Bernkastel-Wittlich,112483,96
Biberach,201282,143
Birkenfeld,80951,104
Böblingen,392807,636
Bodenseekreis,217470,327
Börde,170923,72
Borken,371339,261
Breisgau-Hochschwarzwald,262795,191
Burgenlandkreis,178846,127
Calw,159201,200
Celle,179011,116
Cham,127998,84
Cloppenburg,170682,120
Coburg,86747,147
Cochem-Zell,61375,89
Coesfeld,220586,198
Cuxhaven,198038,96
Dachau,154899,267
Dahme-Spreewald,170791,75
Darmstadt-Dieburg,297844,452
Deggendorf,119478,139
Diepholz,217089,109
Dillingen an der Donau,96562,122
Dingolfing-Landau,96683,110
Dithmarschen,133193,93
Donau-Ries,133783,105
Donnersbergkreis,75325,117
Düren,264638,281
Ebersberg,143649,261
Eichsfeld,100006,106
Eichstätt,132881,109
Eifelkreis Bitburg-Prüm,99058,61
Elbe-Elster,101827,54
Emmendingen,165383,243
Emsland,326954,113
Ennepe-Ruhr-Kreis,324106,791
Enzkreis,199556,348
Erding,138182,159
Erlangen-Höchstadt,137262,243
Erzgebirgskreis,334948,183
Esslingen,535024,834
Euskirchen,193656,155
Forchheim,116203,181
Freising,180007,225
Freudenstadt,118243,136
Freyung-Grafenau,78362,80
Friesland,98704,162
Fulda,223145,162
Fürstenfeldbruck,219311,504
Fürth,117853,383
Garmisch-Partenkirchen,88424,87
Germersheim,129013,278
Gießen,270688,317
Gifhorn,176523,113
Göppingen,258145,402
Görlitz,252725,120
Goslar,136292,141
Gotha,134908,144
Göttingen,326041,186
Grafschaft Bentheim,137162,140
Greiz,97398,115
Groß-Gerau,275726,609
Günzburg,127027,167
Gütersloh,364938,377
Hameln-Pyrmont,148549,187
"Hannover, Region[FN 1]",1157115,505
Harburg,254431,204
Harz,213310,101
Haßberge,84384,88
Havelland,162996,94
Heidekreis,140673,75
Heidenheim,132777,212
Heilbronn,344456,313
Heinsberg,255555,407
Helmstedt,91297,135
Herford,250578,556
Hersfeld-Rotenburg,120719,110
Herzogtum Lauenburg,198019,157
Hildburghausen,63197,67
Hildesheim,275817,229
Hochsauerlandkreis,259777,133
Hochtaunuskreis,236914,492
Hof,94801,106
Hohenlohekreis,112655,145
Holzminden,70458,102
Höxter,140251,117
Ilm-Kreis,106249,132
Jerichower Land,89589,57
Kaiserslautern,105979,166
Karlsruhe,445101,410
Kassel,236764,183
Kelheim,123058,115
Kitzingen,91155,133
Kleve,312465,253
Konstanz,286305,350
Kronach,66743,102
Kulmbach,71566,109
Kusel,70219,122
Kyffhäuserkreis,74212,72
Lahn-Dill-Kreis,253319,238
Landsberg am Lech,120302,150
Landshut,159895,119
Leer,170756,157
Leipzig,258139,156
Lichtenfels,66776,128
Limburg-Weilburg,171912,233
Lindau (Bodensee),81981,253
Lippe,347514,279
Lörrach,228736,284
Lüchow-Dannenberg,48412,40
Ludwigsburg,545423,794
Ludwigslust-Parchim,211779,45
Lüneburg,184139,139
Main-Kinzig-Kreis,420552,301
Main-Spessart,126158,95
Main-Tauber-Kreis,132399,102
Main-Taunus-Kreis,238558,1073
Mainz-Bingen,211417,349
Mansfeld-Südharz,134942,93
Marburg-Biedenkopf,247084,196
Märkischer Kreis,410222,387
Märkisch-Oderland,195751,91
Mayen-Koblenz,214434,262
Mecklenburgische Seenplatte,258074,47
Meißen,241717,166
Merzig-Wadern,103243,186
Mettmann,485570,1192
Miesbach,100010,115
Miltenberg,128743,180
Minden-Lübbecke,310409,269
Mittelsachsen,304099,144
Mühldorf am Inn,115872,144
München,350473,528
Neckar-Odenwald-Kreis,143633,128
Neu-Ulm,175204,340
Neuburg-Schrobenhausen,97303,132
Neumarkt in der Oberpfalz,134573,100
Neunkirchen,131408,527
Neustadt an der Aisch-Bad Windsheim,101014,80
Neustadt an der Waldnaab,94450,66
Neuwied,182811,292
Nienburg/Weser,121390,87
Nordfriesland,165951,80
Nordhausen,83416,117
Nordsachsen,197741,97
Nordwestmecklenburg,157322,74
Northeim,132285,104
Nürnberger Land,170792,214
Oberallgäu,156008,102
Oberbergischer Kreis,272057,296
Oberhavel,212914,118
Oberspreewald-Lausitz,109371,89
Odenwaldkreis,96703,155
Oder-Spree,178803,79
Offenbach,355813,999
Oldenburg,130890,123
Olpe,133955,188
Ortenaukreis,430953,232
Osnabrück,358080,169
Ostalbkreis,314025,208
Ostallgäu,141182,101
Osterholz,113928,175
Ostholstein,200539,144
Ostprignitz-Ruppin,98861,39
Paderborn,307839,247
Passau,192656,126
Peine,134801,252
Pfaffenhofen an der Ilm,128227,168
Pinneberg,316103,476
Plön,128686,119
Potsdam-Mittelmark,216566,84
Prignitz,76158,36
Rastatt,231420,313
Ravensburg,285424,175
Recklinghausen,614137,807
Regen,77410,79
Regensburg,194070,139
Rems-Murr-Kreis,427248,498
Rendsburg-Eckernförde,274098,125
Reutlingen,287034,263
Rhein-Erft-Kreis,470615,668
Rheingau-Taunus-Kreis,187160,231
Rhein-Hunsrück-Kreis,103163,104
Rheinisch-Bergischer Kreis,283271,648
Rhein-Kreis Neuss,451730,784
Rhein-Lahn-Kreis,122297,156
Rhein-Neckar-Kreis,548355,516
Rhein-Pfalz-Kreis,154609,507
Rhein-Sieg-Kreis,600764,521
Rhön-Grabfeld,79635,78
Rosenheim,261330,182
Rostock,215794,63
Rotenburg (Wümme),163782,79
Roth,126749,142
Rottal-Inn,121502,95
Rottweil,139878,182
Saale-Holzland-Kreis,82950,102
